name,category,city,state,rating,review_count,yelp_url
Caroun Restaurant,Restaurant,Phoenix,AZ,4.5,81,https://www.yelp.com/biz/caroun-restaurant-phoenix-3
Another Time Used Cars,Auto Dealer,Phoenix,AZ,3.8,56,https://www.yelp.com/biz/another-time-used-cars-phoenix-2
101 Auto Outlet,Auto Dealer,Phoenix,AZ,4.5,45,https://www.yelp.com/biz/101-auto-outlet-scottsdale
Carsultants,Auto Dealer,Phoenix,AZ,4.9,34,https://www.yelp.com/biz/carsultants-scottsdale
OG Dental,Dental,Denver,CO,4.9,63,https://www.yelp.com/biz/og-dental-denver-2
Cherry Creek Dental Associates,Dental,Denver,CO,4.8,10,https://www.yelp.com/biz/cherry-creek-dental-associates-denver-2
City Roots Dental,Dental,Denver,CO,4.9,32,https://www.yelp.com/biz/city-roots-dental-denver
The Dentists on Pearl,Dental,Denver,CO,4.4,39,https://www.yelp.com/biz/the-dentists-on-pearl-denver
Cherry Creek DDS,Dental,Denver,CO,4.8,21,https://www.yelp.com/biz/cherry-creek-dds-denver
Williams Family Dentistry,Dental,Denver,CO,4.7,30,https://www.yelp.com/biz/williams-family-dentistry-denver
The Luxe Room,Med Spa,Denver,CO,4.7,88,https://www.yelp.com/biz/the-luxe-room-denver-2
Gleam Medical Spa,Med Spa,Denver,CO,4.6,28,https://www.yelp.com/biz/gleam-medical-spa-denver
Eleven11 Laser + Skincare,Med Spa,Denver,CO,4.9,28,https://www.yelp.com/biz/eleven11-laser-skincare-denver
VIVE Med Spa,Med Spa,Denver,CO,5.0,2,https://www.yelp.com/biz/vive-med-spa-denver
SLA Medical Spa,Med Spa,Denver,CO,5.0,59,https://www.yelp.com/biz/sla-medical-spa-centennial
RESTOR Medical Spa,Med Spa,Denver,CO,4.6,94,https://www.yelp.com/biz/restor-medical-spa-denver-6
JuicyFace,Med Spa,Denver,CO,5.0,3,https://www.yelp.com/biz/juicyface-denver
Ollie & Park's,Restaurant,Denver,CO,4.5,73,https://www.yelp.com/biz/ollie-and-parks-denver
Jack's on Pearl,Restaurant,Denver,CO,4.6,20,https://www.yelp.com/biz/jack-s-on-pearl-denver
Colorado Auto Broker,Auto Dealer,Denver,CO,4.6,33,https://www.yelp.com/biz/colorado-auto-broker-greenwood-village
Groove Used Cars,Auto Dealer,Denver,CO,4.8,16,https://www.yelp.com/biz/groove-used-cars-englewood
Cherry Creek Automotive,Auto Dealer,Denver,CO,4.0,63,https://www.yelp.com/biz/cherry-creek-automotive-denver
Lance Truck & Auto Sales,Auto Dealer,Denver,CO,4.4,7,https://www.yelp.com/biz/lance-truck-and-auto-sales-broomfield
Urban Motors Blue,Auto Dealer,Denver,CO,4.4,61,https://www.yelp.com/biz/urban-motors-blue-denver-4
Malcolm Hirsh Auto Broker,Auto Dealer,Denver,CO,4.8,52,https://www.yelp.com/biz/malcolm-hirsh-auto-broker-h-m-brown-denver-2
Elevation Motors,Auto Dealer,Denver,CO,4.6,22,https://www.yelp.com/biz/elevation-motors-denver-2
Carmart Automotive,Auto Dealer,Denver,CO,3.7,7,https://www.yelp.com/biz/carmart-automotive-denver
Happy Clinic Denver,Med Spa,Denver,CO,4.3,29,https://www.yelp.com/biz/happy-clinic-denver-denver
Adore Aesthetix,Med Spa,Denver,CO,5.0,53,https://www.yelp.com/biz/adore-aesthetix-denver
Smoothe Denver,Med Spa,Denver,CO,4.9,6,https://www.yelp.com/biz/smoothe-denver-denver
Arcadia Dental Arts,Dental,Phoenix,AZ,4.9,4,https://www.yelp.com/biz/arcadia-dental-arts-phoenix
Zona Med Spa,Med Spa,Phoenix,AZ,4.8,69,https://www.yelp.com/biz/zona-med-spa-scottsdale
